company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
中鋼,2024,碳排,full,Stage 1: Entity Match,73,G3,1202,3 2-24 納入政策承諾 50、88 3.1、4.3.3 2-25 補救負面衝擊的程序 50、88 3.1、4.3.3 2-26 尋求建議和提出疑慮的機制 112 6.1.2 2-27 法規遵循 50、95 3.1、4.4.1 2-28 公協會的會員資格 150 附錄六 GRI 準則 揭露項目 頁碼 章節 備註/ 省略理由 GRI 2  一般揭露 2021  ●利害關係人議合 2-29 利害關係人議合方針 25 1.4 2-30 團體協約 87 4.3.1 重大主題 以下為中鋼113 年鑑別之重大主題對應GRI 準則重大主題揭露項目 重大主題 GRI 準則 揭露項目 頁碼 章節 備註/ 省略理由 GRI 3 重大主題2021 3-1  決定重大主題的流程 29 1.5 不可省略 3-2  重大主題列表 30 1.5 創新研發 GRI 3 重大主題2021 3-3 重大主題管理 31、130 1.5、7.2.1 自訂管理指標 研發創新項目數 130 7.2.1 營運財務績效 GRI 3 重大主題2021 3-3 重大主題管理 21、31 1.3、1.5、6.3 GRI 201 經濟績效2016 201-1 組織所產生及分配的直接經濟價值 117 6.3.1 201-4 取自政府之財務補助 119 6.3.2 重大風險事件 GRI 3 重大主題2021 3-3 重大主題管理 31、120 1.5、6.4 自訂管理指標 定期追蹤各重大風險之管控策略及做法執行情形 120 6.4 循環經濟/ 廢棄物與副產物 GRI 3 重大主題2021 3-3 重大主題管理 23、31、62 1.3、1.5、3.3.1 GRI 306 廢棄物2020 特定主題 管理 方針 306-1 廢棄物的產生與廢棄物相關顯著衝擊 62~63 3.3.1 306-2 廢棄物相關顯著衝擊之管理 62~63 3.3.1 特定 主題 306-3 廢棄物的產生 64 3.3.1 AA 1000  AS   Type 2 306-5 廢棄物的直接處置 64 3.3.1 自訂管理指標 每公噸鋼胚廢棄物產量 64 3.3.1 自廠處理比例 64 3.3.1 廢棄物資源化再利用比例 64 3.3.1 氣候變遷 GRI 3 重大主題2021 3-3 重大主題管理 23、31 1.3、1.5、2.1 GRI 305 排放2016 305-1 直接( 範疇一) 溫室氣體排放 46 2.3 305-2 能源間接( 範疇二) 溫室氣體排放 46 2.3 305-3 其它間接( 範疇三) 溫室氣體排放 46 2.3 305-4 溫室氣體排放密集度 149 附錄五 空氣品質 GRI 3 重大主題2021 3-3 重大主題管理 23、31、57 1.3、1.5、3.2.2 0 1 2 3 4 5 6 7 8 附錄 141 142
中鋼,2024,碳排,full,Stage 1: Entity Match,73,G3,180,氣體排放 46 2.3 305-2 能源間接( 範疇二) 溫室氣體排放 46 2.3 305-3 其它間接( 範疇三) 溫室氣體排放 46 2.3 305-4 溫室氣體排放密集度 149 附錄五 空氣品質 GRI 3 重大主題2021 3-3 重大主題管理 23、31、57 1.3、1.5、3.2.2 0 1 2 3 4 5 6 7 8 附錄 141 142
中鋼,2024,碳排,full,Stage 1: Entity Match,74,G3,1780,[[p.74]]  重大主題 GRI 準則 揭露項目 頁碼 章節 備註/ 省略理由 GRI 305 排放2016 305-6 破壞臭氧層物質(ODS) 的排放 59 3.2.2 AA 1000  AS   Type 2 305-7 氮氧化物(NOx)、硫氧化物(SOx)，及其它重大的 氣體排放 59 3.2.2 自訂管理指標 硫氧化物、氮氧化物、粒狀物等空氣污染物排放強 度( 公斤/ 公噸鋼胚) 57 3.2.2 鋼鐵產品永續價值創造 GRI 3 重大主題2021 3-3 重大主題管理 31、70 1.5、3.5 自訂管理指標 太陽光電系統設置容量 70 3.5 能源效率 GRI 3 重大主題2021 3-3 重大主題管理 23、31、52 1.3、1.5、3.2.1 GRI 302 能源2016 302-1 組織內部的能源消耗量 55 3.2.1 AA 1000  AS  Type 2 302-3 能源密集度 53 3.2.1 302-4 減少能源消耗 52 3.2.1 職業安全衛生 GRI 3 重大主題2021 3-3 重大主題管理 22、31、90 1.3、1.5、4.4.1 GRI 403 職業安全衛生 2018 管理 方針 403-1 職業安全衛生管理系統 90 4.4.1 403-2 危害辨識、風險評估、及事故調查 94 4.4.1 403-3 職業健康服務 96 4.4.2 403-4 有關職業安全衛生之工作者參與、諮商與溝通 85、96 4.2.2、4.4.2 403-5 有關職業安全衛生之工作者訓練 93 4.4.1 403-6 工作者健康促進 96 4.4.2 403-7 預防和減輕與業務關係直接相關聯之職業安全衛生的 衝擊 95 4.4.1 特定 主題 403-9 職業傷害 94~95 4.4.1 AA 1000  AS   Type 2 員工薪酬與福利 GRI 3 重大主題2021 3-3 重大主題管理 21、31、82 1.3、1.5、4.2 GRI 401 勞雇關係2016 401-2 提供給全職員工的福利 83 4.2.2 GRI 405 員工多元化與平等機會 2016 405-2 女性對男性基本薪資加薪酬的比率 83 4.2.1 以下內容為中鋼非重大主題對應GRI 準則之自願揭露項目 其他非重大主題 GRI 準則 揭露項目 頁碼 章節 備註 GRI 303 水與放流水2018 303-2 與排水相關衝擊的管理 60 3.2.3 AA 1000 AS  Type 2 303-3 取水量 60 3.2.3 303-4 排水量 60 3.2.3 303-5 耗水量 60 3.2.3 GRI 401 勞雇關係 2016 401-1 新進員工和離職員工 78、81 4.1.1/4.1.5 GRI 402 勞/ 資關係2016 402-1 關於營運變化的最短預告期 81 4.1.5 GRI 406 不歧視2016 406-1 歧視事件以及組織採取的改善行動 77 4.1 無發生相關情事 GRI 407 結社自由與團體協商 2016 407-1 可能面臨結社自由及團體協商風險的營運據 點或供應商 137 7.3.4 無發生相關情事 GRI 408 童工 2016 408-1 營運據點和供應商使用童工之重大風險 77 7.3.4/4.1 禁止雇用童工 GRI 409 強迫或強制勞動2016 409-1 具強迫與強制勞動事件重大風險的營運據點 和供應商 137 7.3.4 無發生相關情事 GRI 410 保全實務 2016 410-1 保全人員接受人權政策或程序之訓練 134 7.3.2 100% GRI 411 原住民權利 2016 411-1 涉及侵害原住民權利的事件 - － 無發生相關情事 GRI 413 當地社區2016 413-1 經當地社區溝通、衝擊評估和發展計畫的營運 活動 50、101 3.1/5.2.1 GRI 415 公共政策  415-1 政治捐獻 - － 不得捐贈政治獻金 GRI 416 顧客健康與安全2016 416-2 違反有關產品與服務的健康和安全法規之事 件 133 7.2.2 無發生相關情事 0 1 2 3 4 5 6 7 8 附錄 143 144
中鋼,2024,碳排,full,Stage 4: Hybrid Consensus,24,G1、G2、G5、G6,1501,"[[p.24]]  2.3 氣候變遷因應行動  低碳轉型計畫 中鋼已設定短、中、長期減碳目標，長期以139 年達成碳中和作為努力目標，規劃各項策略，並制定碳中和 路徑規劃圖。 短期減碳策略，採取「增加再生能源使用」、「加大力度提升能源效率」為主；112 年完成223 件減碳行動方 案，達成減碳量35.8 萬公噸/ 年( 範疇一+ 範疇二)，較基準年(107 年) 減幅達1.6%；113 年完成173 件減碳 行動方案，達成減碳量10.16 萬公噸/ 年( 範疇一+ 範疇二)，較基準年(107 年) 減幅達0.46%；短期目標執行 期間107 至113 年共完成1,281 件減碳行動方案，達成減碳量151.57 萬公噸/ 年( 範疇一+ 範疇二)，較基準 年(107 年) 減幅達6.86%。 在中、長期碳中和路徑規劃方面，規劃先低碳再達成零碳，114 至119 年主要透過「高爐添加低排碳鐵源」、 「高爐噴氫取代煤」、「鋼化聯產」、「增用廢鋼」達到119 年較107 年減碳25% 之目標( 範疇一+ 範疇二)，119 年之後邁向碳中和的長程規劃有4 個路徑，「設備電力化」、「無碳燃料」、「碳捕捉利用與封存(CCUS)、「全氫 能冶煉製程」，共10 個面向推動減碳工作，並於139 年邁向碳中和目標，展現對環境保護及永續發展的努力。 短程減碳、中長程邁向碳中和路徑規劃 中長程兩階段達成碳中和路徑規劃 2500 2210 2000 1500 1000 500 107 114 119 124 129 134 139 0 排 碳 量 ︵ 萬 公 噸 ︶ 減碳基準年 基準年碳排 碳中和 -7% -25% 外部配合條件 終極路徑 綠電 以氫代碳 CCUS 綠電 綠氫 轉爐 煉鋼 增用廢鋼 碳捕捉封存 LDG COG 鐵礦 冶金媒 連鑄 軋延製程 電力化、無碳燃料 動力工場 噴氫取代噴煤 低碳高爐 零碳高爐 燒結工場 煉焦爐 高爐 煉鐵 鋼化聯產 醋酸 甲醇 EVA CO CO2 BFG 廢鋼 全 氫 能 冶 煉 製 程 HBI 氫 基 直 接 還 原 煉 鐵 添加低排碳鐵源 電爐 CCS DRI CO2 直接還原製程 高爐轉爐製程 欠缺成熟技術、綠氫資源、需設備改造，將面對 技術、資源、資金 三大挑戰 使用再生能源 電力化 無碳燃料 碳捕捉利用與封存(CCUS) 低碳高爐 零碳高爐 全氫能冶煉製程 鐵礦 DRI EAF 鋼 高爐添加 低排碳鐵源 高爐噴氫 取代煤 鋼化聯產 增用廢鋼 加大力度提升能源效率 製程改善｜製程精簡 廢熱回收｜汽電共生 燃燒控制｜溫控優化 提升良率｜設備效能 能源調度｜智能管理 規劃多元方略 建立需求技術 部署所需資源 備足所需資金 依據 選擇最適路徑 技術成熟度 成本有效原則 高級鋼生產能力 行動方案 1. 碳中和路徑與減碳策略規劃 為能達成碳中和之目標，中鋼亦已規劃二階段之中、長程路徑，然作為一貫作業鋼廠，生產過程需以焦炭作 為還原劑與能源來源，致排碳強度遠高於電弧爐。雖氫能冶金與碳捕捉技術具減碳潛力，惟設備投資龐大， 轉型成本高昂，且受限於技術成熟度與綠色能資源取得，短期內難以廣泛應用，原料供應限制與市場競爭 進一步加劇挑戰。因此，中鋼亦與全球鋼廠面對相同的挑戰：部份策略目前尚欠缺成熟技術、綠氫資源，且 需改造設備，將面對技術、資源、資金等三大挑戰。中鋼將積極投入相關研發作業，持續跨部門合作，透過 蒐研鋼鐵業減碳技術及可行性評估，確保採取最適切策略，滾動式檢討調整各項策略之進程。 0 1 2 氣候變遷 3 4 5 6 7 8 43 44"
中鋼,2024,碳排,full,Stage 4: Hybrid Consensus,76,x,180,用內部碳定價作為規劃工具，應說明價格制定基礎 36 8 若有設定氣候相關目標，應說明所涵蓋之活動、溫室氣體排放範疇、規劃期程，每年達成進度等資訊； 若使用碳抵換或再生能源憑證(RECs) 以達成相關目標，應說明所抵換之減碳額度來源及數量或再生 能源憑證(RECs) 數量 39~42、43~45、 55 0 1 2 3 4 5 6 7 8 附錄 147 148
中鋼,2024,碳排,full,Stage 4: Hybrid Consensus,25,G1、G2、G3、G5,1192,"鋼品，也結合相關技術服務資源及碳管理輔導模式，共同提升整體產業鏈的低碳綠色競爭力 行動方案 3. 碳權管理及溫室氣體盤查 中鋼參考環境部相關規定及國際作法，訂定「碳權交易及管理作業標準」，並將相關作業納入ISO 14001 環境管理系統。由環境保護處向主管機關提出溫室氣體減量額度申請，至113 年底，本公司溫室氣體減量 額度尚餘448.8 萬公噸CO2e。  ■溫室氣體盤查( 範疇1~3) 年度溫室氣體盤查作業，逐年委託環境部認證之查驗機構查證，取得查證意見書。113 年排放數據註1 如下表。 單位：公噸CO2e 中鋼公司溫室氣體排放 111 年 112 年 113 年 直接排放( 範疇1) 18,248,901 16,809,455 17,587,087 輸入能源的間接排放( 範疇2) 1,373,673 註2 1,249,102 1,166,325 總排放量註1、3 19,622,574 18,058,557 18,753,412 其它間接( 範疇3) 合計 11,216,225 11,317,609 11,036,798 註　  1：本公司溫室氣體以營運控制權法劃定邊界，包括總公司及總部大樓等重要營運據點，盤查邊界與本報告書之揭露範疇一致，屬中鋼個體數 據。計算方式則採用排放係數法計算，溫室氣體種類包含二氧化碳、甲烷、氧化亞氮、氫氟碳化物、全氟碳化物、六氟化硫及三氟化氮。由 於本公司於102 年10 月於盤查邊界中新增中鋼集團總部大樓，103 年為調整邊界後之第一個完整年度，故調整基準年為103 年。基準年 排放量以IPCC 第四版評估報告計算為20,629,824 公噸CO2e。係數來源含環境部公告之排放係數管理表、世界鋼鐵協會係數及自廠檢 測含碳率推算排放係數等。   2：修正採以最新公告計算係數，故與 111 年報告書刊載數據有所落差。   3：110 年起依新版ISO 14064-1:2018 內容執行溫室氣體盤查，外部查證( 確信) 機構為立恩威(DNV) 國際驗證股份有限公司，依該機構查 證結果，本公司溫室氣體盤查符合合理保證等級。   4：採用經濟部113 年電力排碳係數。     瞭解更多【範疇3 排放量】https://www.csc.com.tw/csc/esg/env/env1.html#env1 行動方案 4. 參與國內外氣候相關活動 中鋼持續推動節能減碳，並積極參與國內外氣候相關活動，除持續參與CA100+、碳揭露專案(CDP) 等國 際倡議及世界鋼鐵協會氣候行動專案相關活動外，在國內亦參與「台灣淨零行動聯盟」、高雄市政府「產業 淨零大聯盟」、擔任淨零學院產業講師及工商協進會「1.5℃氣候行動宣言」等，以實際行動支持國內外氣候 相關倡議及活動。 0 1 2 氣候變遷 3 4 5 6 7 8 45 46"
中鋼,2024,碳排,full,Stage 4: Hybrid Consensus,25,G1、G3、G4,1000,"司對溫室氣體減量努力之佐證，以減緩溫室氣體 減量政策壓力。中鋼於94 年起即配合產發署執 行相關作業，自100 年至113 年期間，本公司合 計執行減量案件數為1,725 案，累積減量則達到 193.3 萬公噸CO2e/ 年。由於減量績效卓著，中 鋼歷年皆獲產發署相關獎項肯定，113 年亦獲選 為自願減量績優廠商。 113 年獲產業溫室氣體自願減量績優廠商  ■參與高雄市政府跨部門溫室氣體合作減量專案 中鋼近年來持續配合高雄市政府環保局辦理「跨部門溫室氣體合作減量專案」，協助偏鄉及弱勢團體更換節 能設備，近五年投入案件數、金額及減碳量如下： 年度 109 110 111 112 113 合計 案件數 5 7 6 6 5 29 補助金額( 元) 625,900 692,684 788,459 544,040 510,537 3,161,620 減碳量(kg CO2e) 16,331 6,767 145,251 2,663 8,526 179,538 行動方案 2. 產品排碳量盤查 為精進自身碳管理及因應歐盟碳邊境調整機制，中鋼除執行23 項大類產品碳足跡盤查，通過外部查證外， 更於既有系統之框架結構及資料下，建置「產品排碳強度精算系統」，並依CBAM 申報指引，計算出所需提 供報列CN code 產品類別的製程概要、平均成分及排碳量，並彙整製作CBAM 資訊文件發送予客戶及進 口者，以利產品出口順暢。另特再建置「標準產品碳排放強度系統」，可快速計算各產製相同產品時，不同 生產路徑造成的碳排強度，提供生產排程選擇，後續亦可導入碳定價機制，計算產品完整成本，提供管理決 策參考，更可透過分析生產路徑排碳強度之差異，開發可能的減量機會。 同時，因應逐步新起之碳關稅及淨零排碳熱潮，中鋼持續推動溫室氣體盤查及查證作業，找出排放熱點並 積極推動減碳方案，以降低排碳量，並協助客戶推動盤查及減碳工作。中鋼不僅持續落實減碳，供應低排碳 鋼品，也結合相關技術服務資源及碳管理輔導模式，共同提升整體產業鏈的低碳綠色競爭力 行動方案 3. 碳權管理及溫室氣體盤查 中鋼參考環境部相關規定及國際作法，訂定「碳權交易及管理作業標準」，並將相關作業納入ISO 14001 環境管理系統。由環境保護處向主管機關提出溫室氣體減量額度申請，至113 年底，本公司溫室氣體減量 額度尚餘448.8 萬公噸CO2e。"
中鋼,2024,碳排,full,Stage 4: Hybrid Consensus,75,x,1949,"[[p.75]]  附錄二 SASB 永續會計準則委員會鋼鐵業指標 產業特定指標 面向主題 編碼 揭露項目 中鋼回應內容 環 境 溫室氣體排放 EM-IS-110a.1. 範疇1 的溫室氣體排放量（公噸 CO2e），及在排放限制法規下其 所占之比例(%) (1) 17,587,087 公噸CO2e (2) 目前並無排放量之法規限制。 >> 更多相關資訊請參考Ch 2.3 氣候變遷因應行動 EM-IS-110a.2. 請說明管理範疇一排放量的長期 與短期目標或計畫，並針對這些 目標進行績效分析 中鋼已設定114 年較107 年減排7%，主要透過於 既有製程執行能效提升措施達成，由研發部門與生 產部門合作，蒐研國內外能效提升技術並評導入； 119 年則較107 年減排25%，主要透過鋼化聯產、 高爐噴吹氫氣及增加廢鋼使用量達成，且強化與學 研機構之合作，投入所需技術之基礎研究；至139 年，則以達成碳中和為努力目標，規劃透過將實現 之低碳高爐再輔以碳捕捉封存(CCS) 技術達成零碳 高爐，或以氫能煉鐵等二路徑達成。 >> 更多相關資訊請參考Ch 2.3 氣候變遷因應行動 空氣品質 EM-IS-120a.1 污染物排放( 公噸) (1) 一氧化碳(CO) (2) 氮氧化物(NOx)   　( 不包含N2O) (3) 硫氧化物(SOx) (4) 懸浮微粒(PM10) (5) 錳(MnO) (6) 鉛(Pb) (7) 揮發性有機化合物(VOCs) (8) 多環芳香烴碳氫化合物 (PAHs) (2) 4,982 公噸 (3) 4,080 公噸 (4) 1,830 公噸，此為總懸浮微粒(TSP) 數據，無 PM10 檢測數據 (6) 0.47 公噸 (7) 264 公噸 其他項目非屬法規要求檢測及申報項目，故無相關 數據。 >> 更多相關資訊請參考Ch 3.2.2 空氣污染物  能源管理 EM-IS-130a.1 (1) 能源總消耗量(GJ) (2) 電網電力占能源總消耗量之 比例(%)  (3) 再生能源占能源總消耗量之 比例(%) (1) 182,734,510 GJ  (2) 4.95%  (3) 0.067% 註　  此數值以高位熱值計算而得 >> 更多相關資訊請參考Ch 3.2.1 能源 EM-IS-130a.2 (1) 燃料總消耗量(GJ) (2) 煤炭(coal) 消耗量占比(%) (3) 天然氣消耗量占比(%) (4) 再生燃料使用占比(%) (1) 11,516,898 GJ （不含原料、電力） (2) 0%  (3) 98.1%  (4) 0% ( 再生能源占外購電力  1.3%) 註　  此數值以高位熱值計算而得 >> 更多相關資訊請參考Ch 3.2.1 能源 產業特定指標 面向主題 編碼 揭露項目 中鋼回應內容 環 境 水管理 EM-IS-140a.1 (1) 取用淡水總量（千立方公尺） (2) 耗水量（千立方公尺）；高 (40-80%) 基線水壓力地區或極 高(>80%) 基線水壓力地區的取 水量占總取水量之比例(%)、耗 水量占總耗水量之比例 (1) 42,206 千立方公尺（自來水約為17,978 千立方 公尺，都污再生水約為24,228 千立方公尺） (2) 25,417 千立方公尺；經查世界資源研究所的「渡 槽水風險地圖集」，顯示高雄為Low to Medium  (1-2)，故並無在高或極高水壓力地區取水量。 >> 更多相關資訊請參考Ch 3.2.3 水資源 廢棄物管理 EM-IS-150a.1 (1) 廢棄物產生量（公噸） (2) 有害廢棄物比例(%) (3) 廢棄物回收比例(%) (1) 505,170.72 公噸 (2) 0.003%  (3) 94.8%  >> 更多相關資訊請參考Ch 3.3.1 廢棄物資源化 人 力 資 本 員工健康& 安全 EM-IS-320a.1 分別針對全職員工(full-time  employees) 及合約員工 (contract employees) 揭露以下 比率 (1) 可記錄工傷率(Total  recordable incident rate,  TRIR) (2) 死亡率 (3) 虛驚事件率(Near Miss  Frequency Rate, NMFR) (1) 113 年TRIR －全職員工=0.19 －協力廠商=0.26 (2) 113 年死亡率 －全職員工= 0 －協力廠商=0.021 (3) 113 年NMFR －全職員工=17.61 －協力廠商：無相關記錄 －協力廠商：無相關記錄 註　  公式=( 事件數×200,000) / 工作時數"
中鋼,2024,碳排,full,Stage 2: Sparse Match,77,G1、G2、G3、G5,1057,"[[p.77]]  1-1 最近二年度中鋼溫室氣體盤查及確信情形  p 1-1-1 溫室氣體盤查資訊 依據臺灣證劵交易所「上市公司編製與申報永續報告書作業辦法」，資本額100 億元以上及鋼鐵業公司須於114 年完成合併報 表子公司盤查作業，中鋼( 母公司) 已完成113 年溫室氣體組織型盤查查證( 確信)，合併報表之子公司已完成盤查作業。 盤查資訊 112 年 113 年 排放量 （公噸CO2 e） 密集度 （公噸CO2 e/ 營業 額新臺幣百萬元） 排放量 （公噸CO2 e） 密集度 （公噸CO2 e/ 營業 額新臺幣百萬元） 中鋼 直接排放量( 範疇一) 16,809,455 85.26 17,587,087 90.87 能源間接排放量( 範疇二) 1,249,102 6.34 1,166,325 6.03 小計 18,058,557 91.6 18,753,412 96.9 合併報表子公司 直接排放量( 範疇一) 不適用 不適用 9,626,748 不適用 能源間接排放量( 範疇二) 819,561 小計 10,446,309 中鋼集團合計 18,058,557 不適用 29,199,721 80.99 註　  溫室氣體盤查標準：ISO 14064-1/GHG Protocol  p 1-1-2 溫室氣體確信資訊  本公司溫室氣體以營運控制權法劃定邊界，包括總公司及總部大樓等重要營運據點，盤查邊界與本報告書 之揭露範疇一致，屬中鋼個體數據。 110 年起依新版ISO 14064-1:2018 內容執行溫室氣體盤查，外部查證( 確信) 機構為立恩威(DNV) 國際 驗證股份有限公司，依該機構查證結果，本公司溫室氣體盤查符合合理保證等級。 1-2 溫室氣體減量目標、策略及具體行動計畫  中鋼集團業務範圍涵蓋鋼鐵、工程、工業材料、物流投資以及綠能五大事業群，營運面向多元，各公司依其 產業特性與營運規劃，選定合適之基準年，集團各基準年之合併排放量共計35,417,943 公噸CO2e( 範疇一及 範疇二)，其中集團主要排碳公司以107 年為基準年。  為應對氣候變遷，中鋼集團訂定明確之減碳目標：短期(114 年) 減碳7%、中期(119 年) 減碳25%，短期 聚焦提升能源效率及使用再生能源；中期持續採取強化能源效率、擴大使用再生能源、優化製程等策略，藉由 以下具體行動計畫降低碳排放，以達成減碳目標。  ●短期行動計畫：「耗能設備之改善及汰換」、「降低運具排碳」、「使用綠電」。"
中鋼,2024,碳排,full,Stage 3: Dense Match,14,G1、G2、G5、G6,831,"[[p.14]]  面向議題 113 年目標 目標達成情況 短期(114 年) 中期(115 年~119 年) 長期(120 年~) 環 境 溫室氣體管理 ( 範疇1+2)  ○減排6%，累計減量132.6 萬公噸CO2e。 註　  以107 年為基準 ○ 達成目標  ●減排7%，累計減量154.7 萬公噸CO2e。 註　  以107 年為基準 119 年目標：  ●減排25%，累計減量552.5 萬公噸CO2e。 註　  以107 年為基準  ●以139 年達成碳中和為努力目標。 空氣污染  ○粒狀物減量136.9 公噸。  ○硫氧化物減量803.6 公噸。  ○氮氧化物減量11.5 公噸。 註　  累積污染減量(109 年起算) ○ 達成目標  ●粒狀物減量157.4 公噸。  ●硫氧化物減量803.6 公噸。  ●氮氧化物減量11.5 公噸。 註　  累積污染減量(109 年起算) 119 年目標：  ●粒狀物減量177.9 公噸。  ●硫氧化物減量1,025.6 公噸。  ●氮氧化物減量83.5 公噸。 註　  累積污染減量(109 年起算) 配合行政院核定之空氣污染防制方案，擬訂 本公司長期目標。 能源管理  ○104-113 年平均年節電率>1%。 ○ 達成目標  ●104-114 年平均年節電率>1.05%。 119 年目標：  ●104-119 年平均年節電率 >1.1%。 121 年目標：  ●104-121 年平均年節電率 >1.5%。 資源循環管理  ○廢棄物資源化再利用比例達90% 以上，廢棄物零固化掩埋。  ○副產品資源循環量36.6 萬公噸。 ○ 達成目標  ●廢棄物資源化再利用比例達92% 以 上，廢棄物零固化掩埋。  ●副產品資源循環量38.4 萬公噸。 119 年目標：  ●廢棄物資源化再利用比例達94% 以 上，廢棄物零固化掩埋。  ●副產品資源循環量41.4 萬公噸。 124 年目標："
